<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
9/11/2018,111160,111170,111140,111150
9/11/2018,111150,111200,111150,111200
9/11/2018,111190,111190,111110,111110
9/11/2018,111120,111130,111060,111070
9/11/2018,111070,111120,111030,111100
9/11/2018,111090,111140,111080,111120
9/11/2018,111120,111130,111080,111100
9/11/2018,111090,111110,111050,111100
9/11/2018,111090,111170,111070,111170
9/11/2018,111170,111190,111150,111190
9/11/2018,111190,111290,111190,111240
9/11/2018,111230,111270,111210,111260
9/11/2018,111270,111290,111220,111260
9/11/2018,111270,111270,111220,111260
9/11/2018,111250,111290,111240,111290
9/11/2018,111300,111340,111270,111310
9/11/2018,111310,111330,111260,111260
9/11/2018,111250,111280,111250,111260
9/11/2018,111270,111280,111250,111260
9/11/2018,111260,111320,111260,111280
9/11/2018,111280,111330,111270,111310
9/11/2018,111300,111300,111160,111170
9/11/2018,111160,111200,111130,111180
9/11/2018,111190,111220,111190,111220
9/11/2018,111220,111250,111210,111210
9/11/2018,111220,111230,111170,111180
9/11/2018,111160,111260,111160,111250
9/11/2018,111250,111260,111200,111230
9/11/2018,111230,111290,111230,111260
9/11/2018,111250,111330,111250,111290
9/11/2018,111300,111300,111260,111290
9/11/2018,111280,111310,111270,111310
9/11/2018,111310,111330,111300,111310
9/11/2018,111300,111300,111270,111280
9/11/2018,111290,111320,111230,111240
9/11/2018,111240,111280,111230,111270
9/11/2018,111290,111310,111270,111300
9/11/2018,111300,111370,111290,111350
9/11/2018,111340,111360,111290,111320
9/11/2018,111330,111350,111310,111320
9/11/2018,111330,111330,111290,111300
9/11/2018,111300,111330,111270,111270
9/11/2018,111270,111340,111250,111340
9/11/2018,111340,111380,111330,111340
9/11/2018,111330,111350,111300,111320
9/11/2018,111330,111330,111290,111290
9/11/2018,111300,111340,111300,111310
9/11/2018,111320,111340,111310,111320
9/11/2018,111310,111360,111310,111360
9/11/2018,111340,111400,111320,111330
9/11/2018,111330,111350,111300,111320
9/11/2018,111330,111350,111320,111350
9/11/2018,111330,111350,111300,111340
9/11/2018,111330,111350,111330,111340
9/11/2018,111340,111400,111340,111370
9/11/2018,111370,111380,111280,111290
9/11/2018,111290,111300,111230,111300
9/11/2018,111300,111340,111290,111340
9/11/2018,111350,111390,111300,111340
9/11/2018,111350,111350,111290,111290
9/11/2018,111290,111290,111240,111260
9/11/2018,111240,111270,111210,111250
9/11/2018,111250,111310,111250,111310
9/11/2018,111310,111340,111270,111280
9/11/2018,111310,111410,111310,111390
9/11/2018,111400,111430,111350,111370
9/11/2018,111380,111420,111330,111370
9/11/2018,111380,111380,111300,111310
9/11/2018,111320,111350,111280,111320
9/11/2018,111340,111360,111300,111300
9/11/2018,111290,111340,111260,111260
9/11/2018,111260,111280,111210,111230
9/11/2018,111230,111230,111160,111210
9/11/2018,111210,111210,111140,111180
9/11/2018,111170,111200,111160,111200
9/11/2018,111190,111220,111160,111200
9/11/2018,111200,111210,111160,111180
9/11/2018,111190,111210,111140,111170
9/11/2018,111170,111200,111170,111190
9/11/2018,111190,111200,111140,111180
9/11/2018,111180,111200,111140,111160
9/11/2018,111170,111170,111110,111140
9/11/2018,111150,111190,111130,111150
9/11/2018,111150,111190,111080,111110
10/9/2018,103750,103900,103680,103900
10/9/2018,103840,104120,103840,104120
10/9/2018,104030,104030,103970,103970
10/9/2018,103980,104000,103980,104000
10/9/2018,104010,104220,104010,104220
10/9/2018,104150,104150,104050,104050
10/9/2018,104160,104200,104160,104200
10/9/2018,104200,104250,104190,104230
10/9/2018,104200,104200,104140,104140
10/9/2018,104150,104290,104150,104220
10/9/2018,104210,104210,104150,104150
10/9/2018,104190,104220,104190,104200
10/9/2018,104150,104150,104130,104130
10/9/2018,104120,104120,104060,104060
10/9/2018,104140,104150,104100,104120
10/9/2018,104150,104150,104060,104060
10/9/2018,104060,104120,104040,104120
10/9/2018,104100,104120,104090,104110
10/9/2018,104140,104140,104090,104120
10/9/2018,104070,104070,104070,104070
10/9/2018,104100,104130,104100,104100
10/9/2018,104050,104080,104040,104080
10/9/2018,104050,104100,104050,104100
10/9/2018,104120,104170,104120,104160
10/9/2018,104160,104160,104160,104160
10/9/2018,104080,104170,104040,104050
10/9/2018,104070,104100,104070,104070
10/9/2018,104140,104160,104120,104160
10/9/2018,104200,104200,104200,104200
10/9/2018,104210,104210,104180,104180
10/9/2018,104110,104140,104050,104140
10/9/2018,104170,104200,104130,104130
10/9/2018,104150,104160,104140,104150
10/9/2018,104090,104110,104040,104040
10/9/2018,104130,104150,104130,104150
10/9/2018,104130,104130,104130,104130
10/9/2018,104160,104180,104160,104180
10/9/2018,104190,104200,104060,104060
10/9/2018,104060,104130,104030,104130
10/9/2018,104130,104130,104050,104050
10/9/2018,104030,104100,104030,104100
10/9/2018,104160,104160,104110,104110
10/9/2018,104130,104130,104130,104130
10/9/2018,104080,104080,104050,104050
10/9/2018,104100,104110,104100,104110
10/9/2018,104090,104130,104080,104110
10/9/2018,104130,104130,104060,104090
10/9/2018,104060,104070,104000,104060
10/9/2018,104030,104030,103900,103900
10/9/2018,103950,103960,103900,103930
10/9/2018,103960,103960,103950,103950
10/9/2018,103980,103980,103980,103980
10/9/2018,103970,103970,103970,103970
10/9/2018,104020,104020,104000,104000
10/9/2018,103970,104000,103970,103980
10/9/2018,103970,104050,103970,104050
10/9/2018,104060,104080,104060,104080
10/9/2018,104050,104060,104050,104060
10/9/2018,104000,104020,104000,104020
10/9/2018,104000,104000,104000,104000
10/9/2018,103980,103980,103960,103960
10/9/2018,104000,104000,104000,104000
10/9/2018,104030,104060,104030,104060
10/9/2018,104070,104070,104070,104070
10/9/2018,104010,104040,103930,103940
10/9/2018,103930,103950,103930,103940
10/9/2018,103950,103950,103950,103950
10/9/2018,103910,103910,103910,103910
10/9/2018,103900,103900,103840,103840
10/9/2018,103810,103830,103750,103760
10/9/2018,103770,103780,103720,103750
10/9/2018,103780,103780,103780,103780
10/9/2018,103750,103800,103750,103800
10/9/2018,103780,103780,103750,103750
10/9/2018,103740,103750,103740,103750
10/9/2018,103740,103830,103740,103800
10/9/2018,103790,103790,103790,103790
10/9/2018,103780,103790,103780,103780
10/9/2018,103780,103780,103780,103780
10/9/2018,103790,103790,103790,103790
10/9/2018,103790,103800,103710,103710
10/9/2018,103720,103720,103690,103690
10/9/2018,103700,103700,103700,103700
10/9/2018,103780,103780,103780,103780
10/9/2018,103800,103800,103800,103800
10/9/2018,103750,103750,103750,103750
10/9/2018,103730,103730,103730,103730
10/9/2018,103750,103780,103750,103750
10/9/2018,103800,103810,103790,103810
10/9/2018,103830,103860,103830,103840
10/9/2018,103800,103830,103800,103830
10/9/2018,103800,103800,103800,103800
10/9/2018,103850,103960,103850,103960
10/9/2018,103940,103940,103900,103900
10/9/2018,103930,103940,103930,103940
10/9/2018,103920,103920,103920,103920
10/9/2018,103900,103900,103900,103900
10/9/2018,103850,103850,103830,103830
10/9/2018,103830,103830,103830,103830
10/9/2018,103880,103890,103880,103890
10/9/2018,103950,103980,103930,103970
10/9/2018,103890,103920,103890,103920
10/9/2018,103970,103970,103970,103970
10/9/2018,103930,103930,103930,103930
10/9/2018,103900,103900,103900,103900
10/9/2018,103960,103960,103960,103960
10/9/2018,103940,103950,103920,103920
10/9/2018,103900,103900,103900,103900
10/9/2018,103860,103860,103860,103860
10/9/2018,103850,103850,103820,103820
10/9/2018,103840,103840,103840,103840
10/9/2018,103870,103900,103870,103900
10/9/2018,103890,103890,103890,103890
10/9/2018,103890,103890,103890,103890
10/9/2018,103830,103830,103820,103820
10/9/2018,103800,103830,103800,103810
10/9/2018,103830,103830,103830,103830
10/9/2018,103840,103840,103840,103840
10/9/2018,103860,103860,103840,103860
10/9/2018,103850,103850,103830,103830
10/9/2018,103810,103810,103750,103750
10/9/2018,103760,103760,103740,103750
10/9/2018,103750,103750,103740,103740
10/9/2018,103770,103770,103720,103720
10/9/2018,103720,103730,103710,103730
10/9/2018,103750,103750,103750,103750
10/9/2018,103780,103780,103770,103770
10/9/2018,103760,103780,103760,103780
10/9/2018,103820,103820,103820,103820
10/9/2018,103810,103810,103810,103810
10/9/2018,103790,103790,103790,103790
10/9/2018,103800,103800,103800,103800
10/9/2018,103840,103840,103840,103840
10/9/2018,103890,103920,103860,103860
10/9/2018,103820,103820,103820,103820
10/9/2018,103800,103800,103780,103780
10/9/2018,103750,103750,103750,103750
10/9/2018,103750,103750,103750,103750
10/9/2018,103790,103790,103790,103790
10/9/2018,103730,103730,103730,103730
10/9/2018,103740,103740,103740,103740
10/9/2018,103780,103780,103780,103780
10/9/2018,103770,103780,103770,103780
10/9/2018,103710,103710,103550,103570
10/9/2018,103540,103540,103460,103510
10/9/2018,103510,103520,103450,103450
10/9/2018,103430,103520,103380,103520
10/9/2018,103470,103490,103450,103490
10/9/2018,103470,103470,103420,103440
10/9/2018,103460,103510,103440,103480
10/9/2018,103480,103520,103460,103520
10/9/2018,103530,103530,103490,103490
10/9/2018,103440,103450,103440,103450
10/9/2018,103420,103430,103400,103430
10/9/2018,103450,103500,103450,103470
10/9/2018,103470,103470,103450,103450
10/9/2018,103420,103420,103420,103420
10/9/2018,103480,103480,103470,103470
10/9/2018,103480,103480,103440,103440
10/9/2018,103450,103450,103450,103450
10/9/2018,103450,103450,103440,103440
10/9/2018,103430,103430,103340,103380
10/9/2018,103360,103360,103220,103220
10/9/2018,103220,103270,103220,103270
10/9/2018,103290,103320,103270,103270
10/9/2018,103280,103290,103280,103290
10/9/2018,103260,103300,103260,103300
10/9/2018,103250,103250,103170,103200
10/9/2018,103250,103320,103250,103320
10/9/2018,103270,103300,103270,103300
10/9/2018,103300,103300,103230,103250
10/9/2018,103270,103300,103270,103300
10/9/2018,103300,103300,103280,103280
10/9/2018,103260,103300,103260,103300
10/9/2018,103290,103300,103290,103300
10/9/2018,103300,103340,103300,103340
10/9/2018,103340,103350,103340,103350
10/9/2018,103350,103350,103340,103350
10/9/2018,103350,103350,103350,103350
10/9/2018,103310,103370,103310,103340
10/9/2018,103340,103340,103290,103290
10/9/2018,103280,103280,103210,103240
10/9/2018,103220,103220,103170,103170
10/9/2018,103170,103220,103170,103220
10/9/2018,103240,103240,103180,103180
10/9/2018,103160,103160,103100,103120
10/9/2018,103150,103160,103150,103160
10/9/2018,103180,103180,103170,103170
10/9/2018,103160,103160,103080,103100
10/9/2018,103100,103160,103100,103160
10/9/2018,103180,103200,103180,103200
10/9/2018,103190,103190,103170,103170
10/9/2018,103160,103300,103160,103300
10/9/2018,103290,103300,103290,103300
10/9/2018,103300,103320,103300,103320
10/9/2018,103320,103340,103320,103340
10/9/2018,103320,103330,103320,103330
10/9/2018,103280,103280,103200,103230
10/9/2018,103220,103220,103200,103200
10/9/2018,103160,103160,103160,103160
10/9/2018,103150,103170,103130,103170
10/9/2018,103190,103200,103180,103180
10/9/2018,103170,103170,103170,103170
10/9/2018,103210,103210,103210,103210
10/9/2018,103250,103260,103250,103260
10/9/2018,103210,103210,103210,103210
10/9/2018,103220,103240,103220,103240
10/9/2018,103250,103250,103210,103240
10/9/2018,103230,103230,103230,103230
10/9/2018,103290,103290,103280,103280
10/9/2018,103280,103280,103280,103280
10/9/2018,103240,103240,103240,103240
10/9/2018,103230,103230,103200,103200
10/9/2018,103290,103290,103290,103290
10/9/2018,103290,103290,103280,103280
10/9/2018,103280,103280,103280,103280
10/9/2018,103190,103200,103190,103200
10/9/2018,103200,103200,103200,103200
10/9/2018,103150,103150,103080,103120
10/9/2018,103100,103140,103080,103140
10/9/2018,103170,103190,103170,103190
10/9/2018,103210,103210,103210,103210
10/9/2018,103220,103220,103220,103220
10/9/2018,103180,103180,103180,103180
10/9/2018,103190,103220,103190,103220
10/9/2018,103230,103230,103230,103230
10/9/2018,103260,103390,103260,103390
10/9/2018,103380,103380,103380,103380
10/9/2018,103390,103400,103370,103370
10/9/2018,103350,103350,103350,103350
10/9/2018,103360,103360,103360,103360
10/9/2018,103370,103370,103370,103370
10/9/2018,103370,103370,103340,103340
10/9/2018,103380,103380,103380,103380
10/9/2018,103380,103380,103360,103360
10/9/2018,103330,103330,103320,103320
10/9/2018,103310,103310,103300,103300
10/9/2018,103310,103330,103310,103330
10/9/2018,103300,103310,103300,103310
10/9/2018,103330,103330,103330,103330
10/9/2018,103340,103350,103340,103350
10/9/2018,103340,103340,103340,103340
10/9/2018,103320,103320,103320,103320
10/9/2018,103320,103320,103320,103320
10/9/2018,103350,103350,103350,103350
10/9/2018,103350,103360,103350,103360
10/9/2018,103340,103340,103340,103340
10/9/2018,103320,103320,103320,103320
10/9/2018,103350,103350,103350,103350
10/9/2018,103300,103300,103300,103300
10/9/2018,103310,103310,103310,103310
10/9/2018,103300,103300,103290,103290
10/9/2018,103300,103300,103300,103300
10/9/2018,103330,103330,103330,103330
10/9/2018,103310,103310,103310,103310
10/9/2018,103280,103280,103280,103280
10/9/2018,103290,103290,103280,103280
10/9/2018,103290,103290,103280,103280
10/9/2018,103290,103300,103290,103300
10/9/2018,103310,103310,103310,103310
10/9/2018,103310,103320,103310,103320
10/9/2018,103340,103340,103310,103310
10/9/2018,103300,103300,103300,103300
10/9/2018,103300,103300,103300,103300
10/9/2018,103300,103300,103260,103290
10/9/2018,103330,103330,103330,103330
10/9/2018,103310,103310,103310,103310
10/9/2018,103310,103310,103310,103310
10/9/2018,103280,103280,103280,103280
10/9/2018,103260,103280,103260,103280
10/9/2018,103290,103290,103290,103290
10/9/2018,103280,103280,103280,103280
10/9/2018,103280,103330,103280,103330
10/9/2018,103350,103480,103350,103450
10/9/2018,103490,103490,103420,103420
10/9/2018,103460,103460,103370,103370
10/9/2018,103360,103360,103350,103360
10/9/2018,103360,103360,103330,103350
10/9/2018,103350,103350,103350,103350
10/9/2018,103320,103320,103320,103320
10/9/2018,103310,103390,103310,103390
10/9/2018,103390,103390,103320,103320
10/9/2018,103350,103350,103350,103350
10/9/2018,103310,103350,103310,103350
10/9/2018,103360,103360,103340,103350
10/9/2018,103350,103350,103350,103350
10/9/2018,103350,103370,103350,103350
10/9/2018,103350,103350,103340,103340
10/9/2018,103320,103340,103320,103320
10/9/2018,103310,103330,103310,103330
10/9/2018,103310,103310,103300,103300
10/9/2018,103300,103300,103300,103300
10/9/2018,103330,103330,103330,103330
10/9/2018,103310,103340,103310,103340
10/9/2018,103320,103320,103290,103290
10/9/2018,103280,103290,103280,103290
10/9/2018,103290,103290,103270,103270
10/9/2018,103270,103270,103270,103270
10/9/2018,103300,103300,103300,103300
10/9/2018,103350,103350,103320,103320
10/9/2018,103360,103360,103330,103330
10/9/2018,103330,103330,103320,103320
10/9/2018,103320,103320,103260,103300
10/9/2018,103310,103310,103250,103250
10/9/2018,103200,103260,103190,103260
10/9/2018,103250,103300,103250,103300
10/9/2018,103320,103320,103320,103320
10/9/2018,103310,103310,103250,103250
10/9/2018,103250,103250,103220,103220
10/9/2018,103190,103200,103190,103200
10/9/2018,103220,103220,103220,103220
10/9/2018,103290,103290,103280,103280
10/9/2018,103240,103240,103150,103150
10/9/2018,103240,103240,103220,103220
10/9/2018,103300,103340,103280,103280
10/9/2018,103300,103300,103300,103300
10/9/2018,103280,103280,103250,103250
10/9/2018,103250,103250,103130,103170
10/9/2018,103140,103150,103110,103110
10/9/2018,103130,103180,103130,103180
10/9/2018,103150,103200,103150,103200
10/9/2018,103220,103220,103220,103220
10/9/2018,103150,103150,103150,103150
10/9/2018,103200,103200,103200,103200
10/9/2018,103160,103160,103160,103160
10/9/2018,103190,103200,103190,103200
10/9/2018,103150,103150,103150,103150
10/9/2018,103090,103090,103040,103080
10/9/2018,103100,103100,103100,103100
10/9/2018,103120,103120,103110,103110
10/9/2018,103090,103090,103060,103090
10/9/2018,103140,103170,103140,103160
10/9/2018,103160,103210,103160,103210
10/9/2018,103190,103190,103190,103190
10/9/2018,103190,103230,103190,103230
10/9/2018,103250,103360,103250,103360
10/9/2018,103370,103400,103350,103350
10/9/2018,103300,103300,103300,103300
10/9/2018,103300,103300,103270,103270
10/9/2018,103260,103260,103240,103260
10/9/2018,103300,103310,103290,103310
10/9/2018,103360,103410,103360,103400
10/9/2018,103260,103260,103260,103260
10/9/2018,103270,103270,103270,103270
10/9/2018,103210,103220,103210,103220
10/9/2018,103220,103220,103220,103220
10/9/2018,103200,103220,103200,103220
10/9/2018,103260,103260,103260,103260
10/9/2018,103330,103330,103330,103330
10/9/2018,103320,103320,103320,103320
10/9/2018,103310,103330,103310,103330
10/9/2018,103340,103340,103340,103340
10/9/2018,103330,103330,103330,103330
10/9/2018,103280,103280,103220,103220
10/9/2018,103190,103190,103170,103190
10/9/2018,103190,103210,103190,103210
10/9/2018,103270,103280,103220,103220
10/9/2018,103190,103190,103150,103150
10/9/2018,103130,103140,103130,103130
10/9/2018,103130,103160,103120,103160
10/9/2018,103080,103080,103080,103080
10/9/2018,103060,103070,103050,103060
10/9/2018,103100,103110,103060,103060
10/9/2018,103030,103060,102910,103060
10/9/2018,103110,103180,103110,103180
10/9/2018,103110,103130,103090,103130
10/9/2018,103150,103160,103150,103160
10/9/2018,103180,103190,103180,103190
10/9/2018,103190,103210,103170,103170
10/9/2018,103190,103200,103190,103200
10/9/2018,103210,103210,103170,103170
10/9/2018,103200,103250,103200,103250
10/9/2018,103220,103230,103210,103230
10/9/2018,103300,103320,103300,103320
10/9/2018,103310,103310,103300,103300
10/9/2018,103260,103270,103240,103270
10/9/2018,103270,103280,103240,103240
10/9/2018,103220,103220,103220,103220
10/9/2018,103190,103190,103190,103190
10/9/2018,103200,103210,103200,103210
10/9/2018,103220,103220,103220,103220
10/9/2018,103150,103150,103150,103150
10/9/2018,103140,103140,103140,103140
10/9/2018,103160,103170,103160,103170
10/9/2018,103180,103180,103180,103180
10/9/2018,103210,103210,103210,103210
10/9/2018,103220,103220,103220,103220
10/9/2018,103200,103200,103200,103200
10/9/2018,103200,103260,103200,103260
10/9/2018,103300,103320,103300,103320
10/9/2018,103340,103370,103340,103350
10/9/2018,103360,103430,103360,103420
10/9/2018,103430,103450,103420,103420
10/9/2018,103420,103430,103390,103390
10/9/2018,103390,103390,103370,103370
10/9/2018,103350,103360,103300,103300
10/9/2018,103300,103310,103300,103300
10/9/2018,103310,103320,103310,103320
10/9/2018,103320,103320,103270,103270
10/9/2018,103300,103300,103200,103200
10/9/2018,103240,103340,103240,103240
10/9/2018,103320,103320,103290,103290
10/9/2018,103200,103200,103200,103200
10/9/2018,103150,103150,103150,103150
10/9/2018,103180,103180,103180,103180
10/9/2018,103200,103200,103200,103200
10/9/2018,103160,103160,103160,103160
10/9/2018,103110,103110,103110,103110
10/9/2018,103120,103130,103120,103130
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103140,103140,103140,103140
10/9/2018,103190,103190,103190,103190
10/9/2018,103190,103190,103190,103190
10/9/2018,103170,103180,103170,103180
10/9/2018,103180,103180,103180,103180
10/9/2018,103160,103160,103160,103160
10/9/2018,103080,103090,103080,103090
10/9/2018,103100,103100,103100,103100
10/9/2018,103080,103080,103080,103080
10/9/2018,103060,103060,103050,103050
10/9/2018,103060,103060,103050,103050
10/9/2018,103120,103120,103120,103120
10/9/2018,103090,103090,103090,103090
10/9/2018,103110,103110,103110,103110
10/9/2018,103060,103060,103030,103030
10/9/2018,103010,103030,102970,102990
10/9/2018,102990,102990,102990,102990
10/9/2018,102980,102980,102980,102980
10/9/2018,102980,102980,102980,102980
10/9/2018,103020,103020,103020,103020
10/9/2018,103020,103120,103020,103120
10/9/2018,103100,103100,103100,103100
10/9/2018,103030,103030,103030,103030
10/9/2018,103060,103060,103060,103060
10/9/2018,103020,103020,103000,103000
10/9/2018,103000,103000,103000,103000
10/9/2018,103040,103040,103040,103040
10/9/2018,103040,103090,103040,103090
10/9/2018,103050,103050,103050,103050
10/9/2018,103100,103150,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103120,103150,103120,103150
10/9/2018,103100,103120,103100,103100
10/9/2018,103130,103130,103130,103130
10/9/2018,103150,103150,103140,103140
10/9/2018,103150,103150,103150,103150
10/9/2018,103140,103140,103140,103140
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103060,103060,103060,103060
10/9/2018,103010,103010,103000,103000
10/9/2018,102970,102970,102960,102960
10/9/2018,102970,103030,102950,103030
10/9/2018,103020,103020,103020,103020
10/9/2018,103000,103000,103000,103000
10/9/2018,103030,103030,103030,103030
10/9/2018,103100,103100,103040,103040
10/9/2018,103100,103100,103090,103090
10/9/2018,103080,103080,103080,103080
10/9/2018,103080,103080,103080,103080
10/9/2018,103070,103070,103070,103070
10/9/2018,103040,103040,103030,103030
10/9/2018,103000,103020,103000,103020
10/9/2018,103000,103000,102980,102980
10/9/2018,103030,103030,103030,103030
10/9/2018,103020,103020,103020,103020
10/9/2018,103040,103040,103040,103040
10/9/2018,103050,103220,103050,103170
10/9/2018,103220,103220,103220,103220
10/9/2018,103220,103300,103150,103180
10/9/2018,103190,103190,103190,103190
10/9/2018,103150,103210,103150,103210
10/9/2018,103170,103170,103170,103170
10/9/2018,103170,103170,103170,103170
10/9/2018,103170,103170,103160,103170
10/9/2018,103170,103170,103170,103170
10/9/2018,103170,103170,103170,103170
10/9/2018,103290,103290,103230,103230
10/9/2018,103220,103220,103220,103220
10/9/2018,103190,103200,103190,103200
10/9/2018,103230,103230,103220,103220
10/9/2018,103180,103180,103180,103180
10/9/2018,103150,103150,103150,103150
10/9/2018,103150,103150,103150,103150
10/9/2018,103170,103170,103170,103170
10/9/2018,103160,103160,103160,103160
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103070,103070,103070,103070
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103080,103080,103080,103080
10/9/2018,103050,103050,103050,103050
10/9/2018,103040,103040,103040,103040
10/9/2018,103010,103010,103010,103010
10/9/2018,103060,103090,103060,103090
10/9/2018,103010,103010,103010,103010
10/9/2018,103050,103050,103050,103050
10/9/2018,103030,103030,103030,103030
10/9/2018,103050,103050,103050,103050
10/9/2018,103040,103040,103040,103040
10/9/2018,103110,103110,103090,103090
10/9/2018,103130,103140,103130,103140
10/9/2018,103100,103100,103100,103100
10/9/2018,103080,103080,103080,103080
10/9/2018,103000,103020,103000,103020
10/9/2018,103000,103000,103000,103000
10/9/2018,102960,103230,102680,102680
11/9/2018,103300,104000,103300,103730
11/9/2018,103740,103900,103740,103820
11/9/2018,103850,103960,103850,103960
11/9/2018,103920,103920,103780,103800
11/9/2018,103790,103860,103790,103860
11/9/2018,103880,103960,103780,103820
11/9/2018,103850,103880,103810,103880
11/9/2018,103890,103970,103890,103910
11/9/2018,103980,104000,103970,103990
11/9/2018,103980,104000,103980,103980
11/9/2018,104010,104040,104000,104010
11/9/2018,104010,104060,104010,104060
11/9/2018,104090,104100,104080,104100
11/9/2018,104100,104150,104080,104080
11/9/2018,104110,104430,104110,104310
11/9/2018,104310,104320,104250,104320
11/9/2018,104320,104340,104300,104310
11/9/2018,104270,104270,104200,104250
11/9/2018,104240,104240,104180,104180
11/9/2018,104160,104160,104030,104030
11/9/2018,104030,104110,104030,104090
11/9/2018,104100,104100,104100,104100
11/9/2018,104100,104100,104100,104100
11/9/2018,104120,104120,104090,104100
11/9/2018,104050,104050,104010,104010
11/9/2018,104000,104000,103810,103890
11/9/2018,103950,103970,103950,103960
11/9/2018,103970,104010,103970,104010
11/9/2018,104030,104060,104030,104060
11/9/2018,104050,104090,104050,104070
11/9/2018,104120,104200,104100,104180
11/9/2018,104130,104130,104120,104130
11/9/2018,104110,104110,104090,104090
11/9/2018,104090,104090,104090,104090
11/9/2018,104050,104050,104040,104040
11/9/2018,104010,104060,104010,104060
11/9/2018,104020,104020,103980,103980
11/9/2018,103980,103980,103960,103980
11/9/2018,104100,104100,104100,104100
11/9/2018,104080,104080,104080,104080
11/9/2018,104080,104080,104080,104080
11/9/2018,104080,104080,104070,104070
11/9/2018,104040,104100,104040,104100
11/9/2018,104110,104110,104050,104050
11/9/2018,104050,104110,104050,104110
11/9/2018,104160,104220,104160,104200
11/9/2018,104200,104200,104200,104200
11/9/2018,104210,104210,104200,104200
11/9/2018,104210,104300,104210,104300
11/9/2018,104270,104300,104270,104300
11/9/2018,104250,104310,104250,104310
11/9/2018,104290,104290,104290,104290
11/9/2018,104290,104300,104290,104300
11/9/2018,104270,104270,104270,104270
11/9/2018,104220,104230,104200,104200
11/9/2018,104190,104190,104140,104140
11/9/2018,104150,104170,104150,104170
11/9/2018,104250,104250,104210,104220
11/9/2018,104320,104320,104310,104310
11/9/2018,104350,104350,104350,104350
11/9/2018,104310,104310,104260,104260
11/9/2018,104260,104300,104260,104300
11/9/2018,104290,104290,104240,104240
11/9/2018,104250,104280,104250,104280
11/9/2018,104280,104280,104280,104280
11/9/2018,104310,104320,104300,104300
11/9/2018,104270,104270,104250,104250
11/9/2018,104250,104250,104230,104230
11/9/2018,104220,104220,104210,104210
11/9/2018,104250,104250,104250,104250
11/9/2018,104260,104310,104260,104310
11/9/2018,104310,104590,104310,104540
11/9/2018,104560,104700,104560,104590
11/9/2018,104590,104600,104520,104520
11/9/2018,104570,104580,104570,104580
11/9/2018,104550,104550,104550,104550
11/9/2018,104510,104510,104490,104490
11/9/2018,104530,104560,104530,104560
11/9/2018,104590,104640,104590,104590
11/9/2018,104600,104630,104600,104630
11/9/2018,104610,104640,104540,104540
11/9/2018,104570,104570,104550,104550
11/9/2018,104570,104570,104570,104570
11/9/2018,104540,104550,104540,104550
11/9/2018,104560,104570,104540,104570
11/9/2018,104570,104570,104540,104550
11/9/2018,104520,104520,104520,104520
11/9/2018,104550,104580,104540,104580
11/9/2018,104570,104570,104570,104570
11/9/2018,104580,104580,104550,104550
11/9/2018,104560,104560,104490,104550
11/9/2018,104550,104550,104550,104550
11/9/2018,104520,104520,104520,104520
11/9/2018,104510,104510,104500,104500
11/9/2018,104530,104530,104490,104490
11/9/2018,104480,104490,104430,104440
11/9/2018,104450,104450,104420,104450
11/9/2018,104450,104450,104450,104450
11/9/2018,104470,104470,104470,104470
11/9/2018,104420,104450,104420,104450
11/9/2018,104400,104440,104400,104440
11/9/2018,104450,104450,104410,104410
11/9/2018,104390,104410,104390,104410
11/9/2018,104350,104350,104340,104340
11/9/2018,104340,104340,104300,104300
11/9/2018,104310,104310,104230,104230
11/9/2018,104230,104270,104230,104270
11/9/2018,104270,104290,104270,104290
11/9/2018,104280,104330,104270,104330
11/9/2018,104340,104340,104340,104340
11/9/2018,104330,104350,104320,104320
11/9/2018,104340,104340,104340,104340
11/9/2018,104330,104330,104330,104330
11/9/2018,104340,104340,104340,104340
11/9/2018,104340,104360,104340,104360
11/9/2018,104300,104300,104300,104300
11/9/2018,104280,104280,104280,104280
11/9/2018,104260,104260,104250,104250
11/9/2018,104250,104260,104230,104240
11/9/2018,104240,104240,104210,104210
11/9/2018,104210,104240,103970,104000
11/9/2018,104000,104000,103900,103990
11/9/2018,103970,104000,103970,104000
11/9/2018,103940,103940,103930,103930
11/9/2018,103900,103900,103790,103790
11/9/2018,103770,103820,103760,103810
11/9/2018,103820,103850,103820,103820
11/9/2018,103850,103870,103850,103870
11/9/2018,103860,103910,103850,103910
11/9/2018,103910,103950,103910,103950
11/9/2018,103900,103900,103900,103900
11/9/2018,103930,103930,103930,103930
11/9/2018,103960,103960,103930,103930
11/9/2018,103960,103960,103960,103960
11/9/2018,103990,104000,103990,104000
11/9/2018,103940,103940,103900,103900
11/9/2018,103880,103880,103880,103880
11/9/2018,103870,103880,103870,103870
