<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
9/11/2018,112890,112910,112840,112870
9/11/2018,112850,112880,112810,112850
9/11/2018,112870,112870,112780,112800
9/11/2018,112800,112830,112770,112810
9/11/2018,112800,112850,112780,112840
9/11/2018,112840,112850,112800,112810
9/11/2018,112810,112840,112780,112840
9/11/2018,112840,112890,112800,112840
9/11/2018,112840,112850,112820,112840
9/11/2018,112830,112930,112820,112930
9/11/2018,112930,112940,112880,112880
9/11/2018,112890,112910,112850,112850
9/11/2018,112860,112880,112810,112850
9/11/2018,112860,112920,112850,112900
9/11/2018,112900,112940,112870,112880
9/11/2018,112880,112890,112850,112850
9/11/2018,112850,112870,112780,112780
9/11/2018,112790,112870,112780,112830
9/11/2018,112820,112830,112740,112750
9/11/2018,112740,112840,112730,112810
9/11/2018,112800,112840,112780,112790
9/11/2018,112790,112850,112770,112840
9/11/2018,112830,112860,112830,112840
9/11/2018,112850,112850,112790,112810
9/11/2018,112810,112820,112720,112770
9/11/2018,112760,112840,112760,112840
9/11/2018,112840,112850,112810,112830
9/11/2018,112840,112860,112820,112840
9/11/2018,112830,112870,112810,112810
9/11/2018,112810,112830,112760,112760
9/11/2018,112780,112780,112740,112750
9/11/2018,112770,112770,112670,112680
9/11/2018,112680,112690,112600,112690
9/11/2018,112680,112690,112610,112610
9/11/2018,112610,112700,112590,112670
9/11/2018,112660,112690,112630,112690
9/11/2018,112690,112700,112650,112690
9/11/2018,112680,112690,112610,112610
9/11/2018,112610,112630,112560,112590
9/11/2018,112570,112620,112560,112580
9/11/2018,112580,112610,112540,112550
9/11/2018,112550,112580,112510,112550
9/11/2018,112540,112570,112440,112510
9/11/2018,112520,112540,112460,112520
9/11/2018,112520,112570,112460,112470
9/11/2018,112470,112500,112430,112480
9/11/2018,112460,112510,112460,112490
9/11/2018,112490,112520,112480,112510
9/11/2018,112510,112570,112500,112540
9/11/2018,112530,112570,112500,112540
9/11/2018,112540,112620,112500,112510
9/11/2018,112510,112520,112400,112420
9/11/2018,112420,112430,112260,112280
9/11/2018,112270,112280,112200,112230
9/11/2018,112230,112230,112180,112210
9/11/2018,112220,112230,112160,112180
9/11/2018,112160,112170,112110,112160
9/11/2018,112160,112160,112060,112080
9/11/2018,112090,112180,112060,112140
9/11/2018,112150,112160,112070,112120
9/11/2018,112110,112150,112070,112120
9/11/2018,112100,112110,112070,112080
9/11/2018,112090,112140,112070,112100
9/11/2018,112110,112180,112090,112180
9/11/2018,112180,112200,112150,112170
9/11/2018,112190,112190,112130,112170
9/11/2018,112160,112190,112160,112190
9/11/2018,112180,112220,112170,112220
9/11/2018,112210,112230,112190,112220
9/11/2018,112210,112220,112160,112180
9/11/2018,112180,112240,112180,112210
9/11/2018,112200,112240,112170,112240
9/11/2018,112240,112240,112190,112200
9/11/2018,112200,112200,112120,112120
9/11/2018,112130,112220,112120,112160
9/11/2018,112140,112210,112120,112190
9/11/2018,112190,112190,112090,112090
9/11/2018,112100,112100,112000,112020
9/11/2018,112010,112020,111880,111910
9/11/2018,111900,111910,111820,111830
9/11/2018,111820,111870,111800,111800
9/11/2018,111810,111830,111710,111710
9/11/2018,111710,111750,111680,111710
9/11/2018,111700,111710,111640,111660
9/11/2018,111650,111750,111600,111720
9/11/2018,111720,111780,111710,111760
9/11/2018,111760,111770,111680,111700
9/11/2018,111700,111740,111660,111690
9/11/2018,111700,111780,111630,111780
9/11/2018,111770,111830,111730,111800
9/11/2018,111810,112030,111770,111980
9/11/2018,111990,111990,111880,111920
9/11/2018,111920,112130,111920,112100
9/11/2018,112100,112190,112080,112140
9/11/2018,112150,112160,112030,112040
9/11/2018,112040,112050,112000,112010
9/11/2018,112000,112010,111920,111990
9/11/2018,111980,112000,111930,111960
9/11/2018,111960,111990,111920,111970
9/11/2018,111980,112090,111970,112030
9/11/2018,112040,112070,112010,112010
9/11/2018,112010,112030,111910,111930
9/11/2018,111920,112000,111920,112000
9/11/2018,112000,112010,111920,111930
9/11/2018,111920,111930,111750,111780
9/11/2018,111780,111810,111730,111750
9/11/2018,111740,111760,111580,111590
9/11/2018,111600,111630,111380,111440
9/11/2018,111440,111660,111410,111660
9/11/2018,111660,111660,111500,111520
9/11/2018,111520,111580,111460,111470
9/11/2018,111470,111570,111450,111510
9/11/2018,111510,111520,111420,111480
9/11/2018,111480,111510,111340,111360
9/11/2018,111350,111400,111240,111240
9/11/2018,111250,111260,111160,111190
9/11/2018,111180,111270,111100,111240
9/11/2018,111220,111250,111170,111180
9/11/2018,111170,111250,111120,111230
9/11/2018,111240,111420,111220,111410
9/11/2018,111400,111420,111350,111370
9/11/2018,111370,111370,111230,111250
9/11/2018,111250,111350,111230,111340
9/11/2018,111330,111370,111270,111370
9/11/2018,111370,111380,111310,111380
9/11/2018,111380,111380,111300,111300
9/11/2018,111300,111330,111290,111310
9/11/2018,111310,111370,111250,111370
9/11/2018,111350,111380,111290,111360
9/11/2018,111350,111390,111310,111380
9/11/2018,111370,111510,111370,111480
9/11/2018,111480,111530,111440,111480
9/11/2018,111500,111560,111490,111560
9/11/2018,111560,111570,111460,111490
9/11/2018,111480,111490,111440,111460
9/11/2018,111460,111470,111400,111430
9/11/2018,111430,111510,111390,111510
9/11/2018,111500,111510,111450,111470
9/11/2018,111480,111480,111430,111450
9/11/2018,111450,111460,111410,111460
9/11/2018,111450,111450,111380,111410
9/11/2018,111410,111420,111330,111370
9/11/2018,111370,111420,111350,111400
9/11/2018,111400,111410,111350,111360
9/11/2018,111360,111420,111330,111410
9/11/2018,111410,111440,111400,111400
9/11/2018,111410,111450,111390,111390
9/11/2018,111400,111450,111350,111430
9/11/2018,111440,111480,111420,111470
9/11/2018,111460,111510,111440,111450
9/11/2018,111440,111510,111430,111500
9/11/2018,111490,111500,111420,111430
9/11/2018,111430,111460,111400,111440
9/11/2018,111440,111450,111420,111440
9/11/2018,111440,111440,111380,111430
9/11/2018,111420,111420,111380,111410
9/11/2018,111410,111470,111410,111460
9/11/2018,111460,111460,111410,111440
9/11/2018,111460,111470,111410,111420
9/11/2018,111420,111440,111390,111390
9/11/2018,111390,111430,111380,111390
9/11/2018,111410,111440,111380,111400
9/11/2018,111410,111410,111310,111320
9/11/2018,111310,111370,111300,111330
9/11/2018,111320,111400,111310,111370
9/11/2018,111370,111400,111340,111350
9/11/2018,111330,111470,111300,111450
9/11/2018,111450,111490,111440,111480
9/11/2018,111480,111520,111460,111480
9/11/2018,111500,111540,111480,111520
9/11/2018,111500,111500,111430,111440
9/11/2018,111440,111460,111400,111460
9/11/2018,111450,111500,111440,111450
9/11/2018,111460,111470,111410,111460
9/11/2018,111450,111460,111420,111420
9/11/2018,111420,111440,111400,111410
9/11/2018,111420,111490,111400,111460
9/11/2018,111460,111490,111450,111480
9/11/2018,111490,111500,111440,111480
9/11/2018,111470,111520,111460,111490
9/11/2018,111500,111500,111430,111450
9/11/2018,111440,111510,111440,111500
9/11/2018,111500,111540,111500,111530
9/11/2018,111530,111550,111500,111500
9/11/2018,111510,111550,111500,111520
9/11/2018,111540,111540,111520,111540
9/11/2018,111550,111570,111540,111550
9/11/2018,111540,111550,111510,111520
9/11/2018,111520,111540,111500,111500
9/11/2018,111500,111530,111500,111520
